time,us500_r20,xau_r20,ukoil_price,regime
2020-03-06,-0.12072836118732855,0.06656134740704411,45.56,RISK_OFF
2020-03-09,-0.17266659566158982,0.0520930990138202,33.874,RISK_OFF
2020-03-10,-0.16544225076077124,0.04385458960789368,38.1,RISK_OFF
2020-03-11,-0.1906761839883897,0.03748908769672932,36.63,RISK_OFF
2020-03-12,-0.277654094380958,-0.014953829162278276,33.617,NORMAL
2020-03-13,-0.21396477407409586,-0.050347725701894275,35.579,NORMAL
2020-03-16,-0.271403668221166,-0.0828153267868259,30.778,NORMAL
2020-03-17,-0.2744087825188336,-0.07669833660760172,29.75,NORMAL
2020-03-18,-0.25562858892655094,-0.09423483886571138,27.53,NORMAL
2020-03-19,-0.2697478887846313,-0.10272378286575012,29.483,NORMAL
2020-03-20,-0.2772454709857546,-0.08808981845374453,28.974,NORMAL
2020-03-23,-0.23773762976944857,-0.011915337923851022,29.354,NORMAL
2020-03-24,-0.18635274270642255,0.027858815691183203,29.819,RISK_OFF
2020-03-25,-0.15160161120168802,0.009711945737227667,29.826999999999998,RISK_OFF
2020-03-26,-0.14418395067331446,-0.012659073936453602,29.182,NORMAL
2020-03-27,-0.15477758536536446,-0.00839095123924316,28.235,NORMAL
2020-03-30,-0.1330866563150418,-0.03466362463567296,26.709,NORMAL
2020-03-31,-0.13990881458966564,-0.0712876086075469,26.268,NORMAL
2020-04-01,-0.12203148468274438,-0.045318768729305625,26.164,NORMAL
2020-04-02,-0.1013152530735727,-0.024170701875108502,30.053,NORMAL
2020-04-03,-0.12020201662959018,-0.017063029474109537,35.083,NORMAL
2020-04-06,0.09476462535963992,0.08640211346121784,33.883,RISK_ON
2020-04-07,-0.0033944840571774604,0.05819031659507812,33.344,RISK_OFF
2020-04-08,0.1261768627354749,0.09282344331676651,34.514,RISK_ON
2020-04-09,0.15347493136829948,0.09440553528811191,33.072,RISK_ON
2020-04-13,0.17291516970286147,0.167132333401524,33.464,RISK_ON
2020-04-14,0.2462720309036237,0.15134601706258266,32.264,RISK_ON
2020-04-15,0.25444547953920593,0.15020974107686969,30.237,RISK_ON
2020-04-16,0.27179103949625905,0.09445640902927344,30.662,RISK_ON
2020-04-17,0.18268320978106134,0.03345736544500566,30.778,RISK_ON
2020-04-20,0.07009928143122846,0.04058431967229259,28.515,RISK_ON
2020-04-21,0.08694448399702548,0.0397470964211839,22.72,RISK_ON
2020-04-22,0.11653380466279484,0.05164366272131882,23.891,RISK_ON
2020-04-23,0.05836756781476038,0.06906963017592216,24.717,RISK_ON
2020-04-24,0.11318043137670641,0.09442246291765333,24.999,RISK_ON
2020-04-27,0.14377462098603333,0.06027004582629658,22.915,RISK_ON
