trade_date,ts_code,close,pct_change,vol
2025-09-29,881169.TI,4130.725,0.0,8909290.3
2025-09-30,881169.TI,4182.577,0.0,8753782.3
2025-10-30,881169.TI,4000.326,0.0,5549000.5
2025-10-31,881169.TI,4020.48,0.0,7026655.8
2025-11-27,881169.TI,4007.358,0.0,3395437.2
2025-11-28,881169.TI,4055.387,0.0,4459067.3
2025-12-30,881169.TI,4311.979,0.0,7523544.6
2025-12-31,881169.TI,4276.253,0.0,6029706.6
2026-01-29,881169.TI,8688.693,0.0,18976655.0
2026-01-30,881169.TI,7913.744,0.0,11215420.2
2026-02-26,881169.TI,6745.356,0.0,7394802.5
2026-02-27,881169.TI,6969.098,0.0,9555539.8
2026-03-30,881169.TI,6050.269,0.0,8867221.6
2026-03-31,881169.TI,6067.892,0.0,10131960.6
2026-04-22,881169.TI,6272.007,0.0,9621523.9
2026-04-23,881169.TI,5952.806,0.0,12089686.1
2026-04-24,881169.TI,5897.857,-0.9231,7668938.3
2026-04-29,881169.TI,5906.374,3.8034,8490998.4
2026-04-30,881169.TI,5872.119,-0.58,8136762.0
2026-05-06,881169.TI,6192.955,5.4637,12163238.0
2026-05-07,881169.TI,6303.98,1.7928,11421507.7
2026-05-08,881169.TI,6424.866,1.9176,11037071.9
