ts_code,trade_date,is_bull,ma_cv_10,atr_pct,vol_ratio,pct_chg,turnover_rate,total_mv,pe_ttm,pb,ret_5,ret_10,ret_20,mv_bin,pct_bin,vr_bin
000878.SZ,2023-07-31,1,0.007802493160594009,0.017886658795749712,2.3204750703157755,2.8037,2.083,2424390.25,12.6713,1.9016,-0.013223140495867813,-0.04958677685950408,-0.05206611570247921,大盘,2-3%,2-3
000878.SZ,2023-09-01,0,0.01366052395373241,0.024290524290524262,1.5673465752032858,2.2375,1.644,2380310.43,11.211,1.7694,-0.010942760942761032,0.026936026936026813,-0.0185185185185186,大盘,2-3%,1.5-2
000878.SZ,2023-09-04,0,0.013222109559283457,0.024758805067999528,2.372165703231412,3.4512,2.7053,2462459.19,11.5979,1.8305,-0.02359641985353944,-0.015459723352318933,-0.05777054515866553,大盘,3-5%,2-3
000878.SZ,2024-12-11,1,0.013879606002047273,0.022318059299191388,1.6644723921346583,2.5542,2.3917,2654807.51,16.765,1.7945,-0.04301886792452836,-0.053584905660377435,-0.08000000000000007,大盘,2-3%,1.5-2
000878.SZ,2025-03-06,1,0.005988954168006591,0.022294372294372273,2.268888946062101,2.7237,3.773,2644789.36,16.7017,1.7877,0.0325757575757577,0.03939393939393954,-0.03560606060606053,大盘,2-3%,2-3
000878.SZ,2025-03-07,1,0.006010171881257967,0.021847491780676614,1.9026773574577784,2.0455,3.2701,2698887.33,17.0433,1.8242,0.023014105419450592,0.01410541945063093,-0.1492204899777283,大盘,2-3%,1.5-2
000878.SZ,2025-06-27,1,0.014207662363530152,0.016470455059995483,3.11326325572905,4.4702,3.9349,2528578.92,18.4179,1.7442,0.017432646592709933,0.032488114104595844,0.09270998415213949,大盘,3-5%,3-5
000878.SZ,2025-07-01,1,0.013528401293809606,0.018530737930276042,2.320458452106305,2.1226,3.5397,2602713.17,18.9579,1.7953,-0.012317167051578148,-0.005388760585065433,0.05003849114703618,大盘,2-3%,2-3
000878.SZ,2025-07-02,1,0.014363034011182333,0.02226415094339623,3.570857824178954,2.0015,6.335,2654807.51,19.3373,1.8312,-0.04075471698113198,-0.03471698113207555,0.018867924528301883,大盘,2-3%,3-5
000880.SZ,2023-02-13,1,0.017398464692686504,0.021635519879593623,4.049451797097443,10.0483,9.2289,377374.16,27.4834,2.1005,-0.01668129938542595,-0.061457418788410934,-0.10184372256365237,小盘,>7%,3-5
